financial_year,year,city,total,population,trips_per_person
2001-02,2001.0,Sydney,571.7015947218327,4102580.0,139.3517237255173
2002-03,2002.0,Sydney,569.1369559148638,4135637.0,137.61772513275798
2003-04,2003.0,Sydney,566.4688797605128,4162593.0,136.08557929168498
2004-05,2004.0,Sydney,563.7723108725141,4184763.0,134.72024840415435
2005-06,2005.0,Sydney,566.409079223952,4217563.0,134.29771629349744
2006-07,2006.0,Sydney,579.2197207694512,4256161.0,136.08971107283097
2007-08,2007.0,Sydney,601.2306251309025,4325525.0,138.9959889564625
2008-09,2008.0,Sydney,616.3807813333334,4409562.0,139.78276784255067
2009-10,2009.0,Sydney,606.5101999999999,4492380.0,135.0086591071993
2010-11,2010.0,Sydney,621.2860000000001,4555516.0,136.3810378451091
2011-12,2011.0,Sydney,636.3179384610542,4608949.0,138.06139717776313
2012-13,2012.0,Sydney,640.963033828942,4677196.0,137.04002009514718
2013-14,2013.0,Sydney,650.2335887188403,4757364.0,136.6793856259139
2014-15,2014.0,Sydney,663.2795251880448,4841349.0,137.00303886128532
2015-16,2015.0,Sydney,686.5265861852564,4930189.0,139.24954726588703
2016-17,2016.0,Sydney,714.734952047109,5024923.0,142.23799091988255
2017-18,2017.0,Sydney,747.6242759999999,5119495.0,146.0347702263602
2018-19,2018.0,Sydney,785.932428473631,5190353.0,151.4217681289945
2019-20,2019.0,Sydney,645.8671917077555,5256836.0,122.86234375730108
2020-21,2020.0,Sydney,455.7688998066666,5295529.0,86.06673663890172
2021-22,2021.0,Sydney,351.2019537296814,5261801.0,66.74557888633215
2022-23,2022.0,Sydney,612.7407327095916,5303794.0,115.52875784949258
2023-24,2023.0,Sydney,710.7217951705029,5449695.0,130.4149672909223
2001-02,2001.0,Melbourne,355.1857405225062,3500249.0,101.47442096905283
2002-03,2002.0,Melbourne,362.13900107998967,3545579.0,102.13818422322268
2003-04,2003.0,Melbourne,364.6500401529852,3594031.0,101.45990397773006
2004-05,2004.0,Melbourne,370.43082167831295,3641951.0,101.71219263474795
2005-06,2005.0,Melbourne,395.0570572399712,3697372.0,106.84806863901473
2006-07,2006.0,Melbourne,421.514637566564,3760760.0,112.08230186626213
2007-08,2007.0,Melbourne,454.9586551015,3841760.0,118.42453851919434
2008-09,2008.0,Melbourne,495.4644034655619,3931438.0,126.02625387086401
2009-10,2009.0,Melbourne,503.10723434,4031787.0,124.78517201925597
2010-11,2010.0,Melbourne,525.046747975,4105857.0,127.87750473896193
2011-12,2011.0,Melbourne,544.471997356,4169366.0,130.58867879576894
2012-13,2012.0,Melbourne,531.45403717092,4265843.0,124.58359043474407
2013-14,2013.0,Melbourne,535.8564807021573,4370067.0,122.6197403156879
2014-15,2014.0,Melbourne,542.0979243513084,4476030.0,121.11132506960595
2015-16,2015.0,Melbourne,570.9971340559,4586012.0,124.50842563340436
2016-17,2016.0,Melbourne,571.1949999999999,4714387.0,121.15997265392083
2017-18,2017.0,Melbourne,578.9083,4820116.0,120.10256599633702
2018-19,2018.0,Melbourne,585.900889,4916589.0,119.16816496152109
2019-20,2019.0,Melbourne,439.5861245,5006457.0,87.80383502744556
2020-21,2020.0,Melbourne,205.891355625,5061107.0,40.681091236561485
2021-22,2021.0,Melbourne,256.09007268749997,4975319.0,51.47209107345679
2022-23,2022.0,Melbourne,417.9238678341334,5039661.0,82.92698017468504
2023-24,2023.0,Melbourne,468.4809492913334,5208068.0,89.95292482573834
2001-02,2001.0,Brisbane,102.12216561046344,1693556.0,60.3004362480269
2002-03,2002.0,Brisbane,104.81945692267271,1735730.0,60.38926383865735
2003-04,2003.0,Brisbane,110.15582503741749,1780650.0,61.862704651345005
2004-05,2004.0,Brisbane,117.4161824315544,1823496.0,64.39069920172811
2005-06,2005.0,Brisbane,128.43317702607877,1866210.0,68.82032409325787
2006-07,2006.0,Brisbane,135.16209664764352,1908265.0,70.82983581821368
2007-08,2007.0,Brisbane,141.60164123002568,1958907.0,72.28604585619719
2008-09,2008.0,Brisbane,152.027178940728,2012204.0,75.55256770224489
2009-10,2009.0,Brisbane,154.6675628576939,2068479.0,74.77357171994198
2010-11,2010.0,Brisbane,153.3656889699334,2108348.0,72.74211324218459
2011-12,2011.0,Brisbane,157.34001607972183,2147436.0,73.26878010786903
2012-13,2012.0,Brisbane,154.08338164251205,2196288.0,70.15627351354287
2013-14,2013.0,Brisbane,152.76999999999998,2241944.0,68.14175554786381
2014-15,2014.0,Brisbane,152.571516,2281740.0,66.86630203265929
2015-16,2015.0,Brisbane,154.62168100000002,2318653.0,66.68599441141043
2016-17,2016.0,Brisbane,152.382917,2362672.0,64.49601002593674
2017-18,2017.0,Brisbane,155.79791875,2409466.0,64.660766638749
2018-19,2018.0,Brisbane,161.38049710125003,2454907.0,65.73792697696899
2019-20,2019.0,Brisbane,128.99231732593748,2503078.0,51.533478911139596
2020-21,2020.0,Brisbane,99.12419839667189,2545379.0,38.94280513694498
2021-22,2021.0,Brisbane,94.10646472527095,2567714.0,36.64990132283851
2022-23,2022.0,Brisbane,126.57809135708212,2625746.0,48.20652544346716
2023-24,2023.0,Brisbane,141.15316035708213,2707133.0,52.14119895737746
2001-02,2001.0,Adelaide,58.7,1148006.0,51.132136940050835
2002-03,2002.0,Adelaide,60.11418461424,1154981.0,52.04776928299254
2003-04,2003.0,Adelaide,59.95079008,1162250.0,51.58166494299849
2004-05,2004.0,Adelaide,60.8945744,1168541.0,52.1116284323785
2005-06,2005.0,Adelaide,63.5640576,1177345.0,53.98932139687177
2006-07,2006.0,Adelaide,64.78435752,1189243.0,54.475290180392065
2007-08,2007.0,Adelaide,66.4174170224,1204210.0,55.1543476822149
2008-09,2008.0,Adelaide,68.09893487056,1219523.0,55.84063184586105
2009-10,2009.0,Adelaide,69.2280045,1237354.0,55.948422601777665
2010-11,2010.0,Adelaide,67.323024,1253097.0,53.72530937349622
2011-12,2011.0,Adelaide,66.283024,1264091.0,52.435326254201634
2012-13,2012.0,Adelaide,67.510255,1277850.0,52.83112650154556
2013-14,2013.0,Adelaide,70.86224000000001,1289696.0,54.94491725181749
2014-15,2014.0,Adelaide,74.7245436,1302079.0,57.388640474195505
2015-16,2015.0,Adelaide,74.85497554406132,1313419.0,56.992456743858064
2016-17,2016.0,Adelaide,74.76259999999999,1324057.0,56.46478965784704
2017-18,2017.0,Adelaide,75.03,1338270.0,56.064919635051226
2018-19,2018.0,Adelaide,76.159,1353662.0,56.26145965536448
2019-20,2019.0,Adelaide,63.529,1372414.0,46.28996789598474
2020-21,2020.0,Adelaide,52.053,1392755.0,37.374125384579486
2021-22,2021.0,Adelaide,47.529317,1401872.0,33.90417741420044
2022-23,2022.0,Adelaide,60.073944999999995,1418323.0,42.35561645690015
2023-24,2023.0,Adelaide,67.65449799999999,1447038.0,46.75378117229816
2001-02,2001.0,Perth,86.00171052631579,1455361.0,59.093043256151425
2002-03,2002.0,Perth,88.17723684210524,1474536.0,59.799989177683855
2003-04,2003.0,Perth,90.565,1496016.0,60.537454144875454
2004-05,2004.0,Perth,95.06,1520232.0,62.529929642317754
2005-06,2005.0,Perth,98.502,1544977.0,63.75628892857305
2006-07,2006.0,Perth,100.926,1576912.0,64.00230323569102
2007-08,2007.0,Perth,108.798,1628467.0,66.81007352313556
2008-09,2008.0,Perth,128.78400000000002,1682860.0,76.52686497985573
2009-10,2009.0,Perth,131.629,1739342.0,75.6774688359161
2010-11,2010.0,Perth,135.975424,1781132.0,76.34213747212446
2011-12,2011.0,Perth,144.13,1833567.0,78.60634490040451
2012-13,2012.0,Perth,149.697,1892862.0,79.08500461206364
2013-14,2013.0,Perth,147.641,1943855.0,75.95268165578194
2014-15,2014.0,Perth,148.762,1973923.0,75.36362867244569
2015-16,2015.0,Perth,145.632675,1998937.0,72.85505996437107
2016-17,2016.0,Perth,140.856706,2019263.0,69.75649333444925
2017-18,2017.0,Perth,139.84699999999998,2046413.0,68.33762295294252
2018-19,2018.0,Perth,141.45499999999998,2075953.0,68.13978929195409
2019-20,2019.0,Perth,116.552397,2114184.0,55.12878585780613
2020-21,2020.0,Perth,102.256806,2161561.0,47.30692587440281
2021-22,2021.0,Perth,102.20299,2191838.0,46.62889775612979
2022-23,2022.0,Perth,123.30769,2228020.0,55.344067827039254
2023-24,2023.0,Perth,142.868346,2311629.0,61.8041848410796
2001-02,2001.0,Hobart,7.642877357172789,197403.0,38.717128702060194
2002-03,2002.0,Hobart,7.628056013409694,197726.0,38.578922414905946
2003-04,2003.0,Hobart,7.697928062578573,199788.0,38.53048262447481
2004-05,2004.0,Hobart,7.609,201771.0,37.71106848853403
2005-06,2005.0,Hobart,7.674,203288.0,37.749399866199674
2006-07,2006.0,Hobart,7.7175,204753.0,37.69175543215484
2007-08,2007.0,Hobart,7.51235,206649.0,36.353188256415464
2008-09,2008.0,Hobart,7.802655000000001,209166.0,37.30364877656981
2009-10,2009.0,Hobart,7.8920205,212085.0,37.21159205035717
2010-11,2010.0,Hobart,8.226621525,214669.0,38.32235453186068
2011-12,2011.0,Hobart,8.128553955500001,216273.0,37.584691364617875
2012-13,2012.0,Hobart,7.884422495055,217670.0,36.221906992488634
2013-14,2013.0,Hobart,8.041797259500001,219315.0,36.667794083851994
2014-15,2014.0,Hobart,8.042269091739131,221365.0,36.33035525823473
2015-16,2015.0,Hobart,7.7158372095238095,223502.0,34.52245263811424
2016-17,2016.0,Hobart,7.74063829787234,225913.0,34.26380198515508
2017-18,2017.0,Hobart,7.9578199052132685,231291.0,34.40609407721558
2018-19,2018.0,Hobart,8.13211334120425,236954.0,34.319375664492895
2019-20,2019.0,Hobart,6.907906976744186,242498.0,28.486449276877273
2020-21,2020.0,Hobart,6.587809523809525,246859.0,26.68652762836082
2021-22,2021.0,Hobart,6.68951048951049,250717.0,26.681519360516003
2022-23,2022.0,Hobart,6.782710280373833,252489.0,26.863389218436577
2023-24,2023.0,Hobart,6.560813953488372,253984.0,25.831603382450755
2001-02,2001.0,Darwin,3.670630168707289,108280.0,33.89942896848254
2002-03,2002.0,Darwin,3.85729375,108679.0,35.49253995712143
2003-04,2003.0,Darwin,3.929696507687927,108433.0,36.240780091742614
2004-05,2004.0,Darwin,3.983500582574032,109211.0,36.47526881517459
2005-06,2005.0,Darwin,4.107807973299814,111388.0,36.878370859516416
2006-07,2006.0,Darwin,4.179881184846567,113461.0,36.83980561467436
2007-08,2007.0,Darwin,4.312269296087845,116935.0,36.87749002512374
2008-09,2008.0,Darwin,4.4734234530162995,121210.0,36.906389349198086
2009-10,2009.0,Darwin,4.750439787623316,125315.0,37.907990165768794
2010-11,2010.0,Darwin,4.897043523374451,127829.0,38.309331398778454
2011-12,2011.0,Darwin,4.99498439384194,129106.0,38.68901827832897
2012-13,2012.0,Darwin,5.19894963414805,133105.0,39.05901081212614
2013-14,2013.0,Darwin,5.3,138471.0,38.27516230835337
2014-15,2014.0,Darwin,5.3953999999999995,141169.0,38.21943911198633
2015-16,2015.0,Darwin,5.503308,144914.0,37.97637219316284
2016-17,2016.0,Darwin,5.613374159999999,147102.0,38.15974058816331
2017-18,2017.0,Darwin,5.6975747723999985,148752.0,38.30250868828653
2018-19,2018.0,Darwin,5.589320851724398,148273.0,37.69614732098493
2019-20,2019.0,Darwin,5.127,147251.0,34.818099707302494
2020-21,2020.0,Darwin,4.391,147673.0,29.73461634828303
2021-22,2021.0,Darwin,4.3975,147971.0,29.71866108899717
2022-23,2022.0,Darwin,4.537995294117648,149154.0,30.4248983876909
2023-24,2023.0,Darwin,4.586,151122.0,30.346342690012044
2001-02,2001.0,Canberra,20.510035373848364,321538.0,63.78728291476704
2002-03,2002.0,Canberra,20.972404181116477,324627.0,64.60462062957325
2003-04,2003.0,Canberra,20.68523462242209,327357.0,63.18861250079299
2004-05,2004.0,Canberra,20.351727029169048,328940.0,61.8706360709219
2005-06,2005.0,Canberra,21.07013249041355,331399.0,63.57934843018099
2006-07,2006.0,Canberra,20.76409813344584,335170.0,61.9509446950677
2007-08,2007.0,Canberra,20.78033975882617,342644.0,60.647026531403355
2008-09,2008.0,Canberra,20.75687473985904,348368.0,59.58318427599274
2009-10,2009.0,Canberra,19.379360000000005,354785.0,54.62282790986091
2010-11,2010.0,Canberra,18.816864,361766.0,52.013909543738215
2011-12,2011.0,Canberra,18.751600000000003,367985.0,50.9575118551028
2012-13,2012.0,Canberra,18.7671,376539.0,49.841052321273494
2013-14,2013.0,Canberra,18.3696,383257.0,47.93024002170867
2014-15,2014.0,Canberra,18.16817,388799.0,46.72895249216176
2015-16,2015.0,Canberra,18.338492,395813.0,46.331201855421625
2016-17,2016.0,Canberra,18.771696,403104.0,46.567873303167424
2017-18,2017.0,Canberra,19.403249999999996,415046.0,46.74963738959054
2018-19,2018.0,Canberra,20.658875,426081.0,48.4857926075089
2019-20,2019.0,Canberra,18.582336725,435730.0,42.646447857618256
2020-21,2020.0,Canberra,15.518712925807248,444903.0,34.88111549215728
2021-22,2021.0,Canberra,12.293849999999996,452508.0,27.168248959134417
2022-23,2022.0,Canberra,18.221392199999997,456915.0,39.87917271264895
2023-24,2023.0,Canberra,20.4441416,466359.0,43.83777647692013
