Date,"Private, Persons ($)","Public, Persons ($)","Private, Males ($)","Public, Males ($)","Private, Females ($)","Public, Females ($)"
1/5/2015,"1,454.60","1,586.60","1,570.90","1,691.50","1,235.80","1,485.30"
1/11/2015,"1,468.40","1,619.50","1,579.40","1,725.40","1,249.50","1,518.30"
1/5/2016,"1,483.30","1,640.70","1,587.60","1,749.00","1,277.10","1,538.70"
1/11/2016,"1,495.70","1,674.00","1,602.10","1,783.80","1,288.30","1,571.10"
1/5/2017,"1,503.90","1,686.00","1,607.80","1,784.70","1,298.00","1,594.50"
1/11/2017,"1,529.50","1,721.50","1,634.30","1,826.90","1,322.50","1,625.50"
1/5/2018,"1,544.10","1,740.00","1,646.00","1,839.90","1,343.30","1,649.80"
1/11/2018,"1,563.50","1,766.20","1,663.80","1,869.60","1,370.00","1,672.30"
1/5/2019,"1,594.70","1,785.40","1,696.30","1,891.50","1,401.50","1,691.00"
1/11/2019,"1,617.30","1,812.20","1,718.20","1,921.00","1,423.00","1,715.00"
1/5/2020,"1,673.60","1,848.40","1,780.70","1,958.30","1,469.10","1,751.30"
1/11/2020,"1,669.70","1,863.70","1,770.30","1,975.40","1,476.20","1,763.70"
1/5/2021,"1,699.10","1,880.20","1,807.40","1,993.30","1,490.50","1,780.60"
1/11/2021,"1,706.40","1,907.50","1,812.30","2,030.20","1,504.50","1,801.80"
1/5/2022,"1,725.80","1,936.70","1,835.60","2,072.60","1,523.70","1,820.60"
1/11/2022,"1,768.00","1,965.00","1,874.40","2,090.40","1,574.10","1,859.20"
1/5/2023,"1,797.20","2,000.00","1,905.00","2,124.90","1,604.40","1,897.00"
1/11/2023,"1,845.00","2,061.10","1,946.90","2,184.60","1,660.70","1,959.60"
1/5/2024,"1,879.00","2,091.80","1,978.00","2,212.60","1,696.30","1,992.60"
1/11/2024,"1,933.60","2,132.70","2,038.00","2,256.10","1,742.30","2,029.40"
1/5/2025,"1,966.00","2,167.80","2,070.10","2,292.10","1,777.80","2,065.30"