SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
80106106715,6,4,5,9,3,9,0,0,0,33,67,39,37,52,66,65,36,8,7,375
80106106716,0,0,0,0,3,3,3,0,0,12,62,40,14,33,46,30,21,4,3,261
80106106717,5,4,12,8,5,3,5,0,0,40,61,50,90,72,49,45,27,11,3,418
80106106718,0,0,0,0,0,0,7,8,15,27,7,0,0,3,0,10,27,65,126,251
80106106719,5,3,0,3,0,0,0,0,0,19,73,63,147,79,73,42,17,14,0,509
80106106801,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3
80106106901,5,4,0,8,3,0,5,0,0,20,50,52,19,31,49,35,28,14,8,296
80106106902,0,9,4,0,5,0,0,0,0,18,54,98,20,18,33,21,25,20,7,292
80106106903,3,0,5,0,3,0,0,0,0,16,88,52,20,44,74,68,56,13,9,420
80106106904,0,0,0,0,0,3,0,0,0,8,41,32,10,30,37,36,33,9,3,228
80106106905,6,9,0,4,7,10,8,0,0,46,130,75,50,92,96,71,49,30,28,620
80106106906,3,6,7,0,0,0,0,0,0,20,113,75,77,83,73,59,26,23,55,579
80106106907,0,0,0,0,0,0,3,0,6,14,51,49,20,23,55,51,52,20,18,330
80106106908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80106106909,11,3,0,5,6,4,4,4,0,34,59,61,18,37,58,79,40,15,8,390
80106107001,3,0,0,4,0,3,4,0,0,11,47,31,7,34,40,42,60,29,6,311
80106107002,0,9,0,0,3,5,4,7,0,34,82,37,29,67,61,63,82,46,9,485
80106107003,6,7,6,0,0,11,13,0,0,42,82,50,38,45,46,65,102,48,6,484
80106107004,0,4,0,3,0,3,8,3,3,19,34,26,11,30,37,62,62,34,11,301
80106107005,3,3,0,3,5,0,0,0,0,16,86,51,21,60,69,71,65,28,8,464
80106107006,0,0,0,0,3,0,4,0,0,8,29,30,18,32,42,41,66,33,14,296
80106107007,0,8,0,0,0,6,0,3,0,20,66,62,71,61,68,87,59,31,16,528
80106107008,9,0,0,0,6,0,4,3,0,19,52,43,12,16,52,30,32,21,6,262
80106112901,6,3,34,12,28,14,12,9,0,117,42,52,175,97,115,78,105,35,4,703
80106112902,6,5,4,8,0,4,10,0,0,30,51,37,67,44,39,50,52,15,3,360
80106112903,5,8,26,24,14,16,9,3,0,101,46,76,277,145,111,110,77,29,5,886
80106113002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
80106113003,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,0,0,0,0,22
80106113004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
80106113005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
80106113006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80106113007,0,0,0,0,0,0,4,0,0,5,0,0,10,5,3,3,4,0,0,23
80106113101,4,3,3,0,0,6,0,0,0,17,19,24,121,61,42,59,29,12,0,360
80106113103,4,3,13,4,4,0,0,0,0,25,67,55,214,134,81,52,38,12,9,656
80106113104,0,3,0,0,0,0,0,0,0,7,18,19,54,38,12,14,14,13,0,180
80106113106,10,15,48,27,11,16,18,9,3,152,51,71,233,142,78,83,79,19,9,765
80106113107,0,4,10,0,5,3,4,0,0,28,49,37,140,79,70,66,48,36,6,530
80106113108,4,5,10,4,4,8,9,0,0,43,58,55,118,89,43,47,47,18,9,486
80106113109,0,4,7,0,0,0,5,0,0,13,43,37,163,92,37,48,27,11,7,461
80106113111,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,12
80106113112,15,12,38,21,8,5,7,0,0,102,76,51,148,99,45,27,15,6,0,480
80106113113,5,10,31,11,15,22,10,9,0,114,32,37,121,62,82,94,83,56,11,577
80106113114,0,0,4,4,3,5,0,0,0,14,26,19,95,82,51,39,17,6,0,337
80106113115,4,10,37,11,8,5,4,0,0,87,41,48,112,40,38,51,38,3,0,373
80106113116,4,6,8,16,12,8,11,5,0,57,14,23,46,44,43,35,32,11,0,240
80106113117,0,7,13,14,7,0,0,0,0,54,7,43,108,91,50,26,13,0,0,328
80106113118,0,0,3,3,0,5,0,0,0,14,40,47,178,99,38,20,12,6,0,445
80106113119,0,5,5,6,0,0,0,0,0,9,24,42,155,58,31,20,11,0,0,356
80107107101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107107102,0,0,4,0,0,0,0,0,0,8,108,82,30,81,109,54,17,11,3,505
80107107104,3,7,0,0,0,0,0,0,0,14,55,47,33,34,49,35,18,11,0,280
80107107105,3,5,6,0,0,0,0,0,0,17,84,59,70,70,64,53,31,16,3,446
80107107106,6,3,6,8,0,0,0,0,0,27,96,45,69,79,34,28,12,9,0,375
80107107107,15,0,5,4,0,0,0,0,0,29,75,40,75,41,43,53,15,13,0,358
80107107108,3,4,5,4,3,3,0,0,0,26,114,81,93,90,81,61,37,17,3,570
80107107109,14,5,3,9,4,0,0,0,0,37,94,63,59,57,73,38,19,5,0,416
80107107110,9,6,0,5,0,0,3,0,0,32,182,83,125,123,79,63,39,21,4,717
80107107111,0,3,0,6,0,0,0,0,0,9,28,44,26,32,46,40,19,7,8,254
80107107112,4,5,0,5,0,7,0,0,0,20,122,88,59,81,107,85,22,22,3,590
80107107113,0,4,3,0,4,0,0,5,0,14,51,31,47,37,46,25,16,7,0,264
80107107114,7,0,10,3,4,6,0,0,0,24,60,37,63,47,46,50,19,0,4,319
80107107202,0,0,0,3,0,0,0,0,0,9,52,26,45,50,28,43,43,43,18,345
80107107203,3,0,0,0,0,3,0,0,0,11,77,59,35,61,59,53,25,7,0,383
80107107204,6,0,0,3,4,0,5,0,0,15,77,34,58,49,54,78,53,25,6,437
80107107205,5,6,0,0,14,5,0,0,0,34,137,97,79,98,127,66,38,4,4,644
80107107206,9,3,6,10,4,0,0,0,0,43,86,59,107,88,74,58,39,13,3,529
80107107207,13,8,3,4,0,0,0,0,0,37,87,48,57,50,47,58,39,10,4,406
80107107208,4,0,3,0,3,4,0,0,0,15,102,89,75,64,69,70,44,19,3,538
80107107209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107107210,10,7,0,0,8,0,0,0,0,30,67,41,45,46,58,43,27,14,0,333
80107107211,0,0,3,0,0,0,0,0,0,11,39,35,21,32,33,38,21,11,0,227
80107107301,9,0,6,3,3,0,0,0,0,26,99,52,66,63,63,53,36,19,0,440
80107107302,5,0,0,3,3,6,0,0,0,26,77,47,51,65,53,78,34,20,3,426
80107107303,7,4,3,4,0,0,5,0,0,25,108,76,68,71,67,77,37,8,5,505
80107107304,8,6,0,3,0,0,0,0,0,17,62,35,65,53,27,41,27,9,0,329
80107107307,6,0,4,5,0,0,0,0,0,11,91,48,61,64,45,75,33,10,10,432
80107107308,0,5,0,0,4,6,0,0,0,19,55,40,28,27,50,55,30,4,0,289
80107107309,9,8,3,7,3,4,7,0,0,36,120,77,64,77,73,83,47,16,3,566
80107107310,5,3,0,0,8,4,5,3,0,20,55,60,42,37,52,82,54,13,3,388
80107107311,6,4,5,3,3,0,3,0,0,27,112,66,114,73,88,69,39,20,5,577
80107107312,0,3,0,0,3,0,0,0,0,16,73,56,30,32,72,61,22,8,0,362
80107107313,3,0,7,0,0,4,0,0,0,23,66,39,88,43,31,46,18,5,8,347
80107107314,7,0,6,0,0,0,0,0,0,12,54,37,35,34,37,31,30,11,0,265
80107107315,0,0,0,0,0,0,3,14,13,30,0,0,0,0,0,0,15,49,53,118
80107107316,16,3,3,5,0,0,0,0,0,35,83,28,66,54,27,30,22,8,9,316
80107107317,3,0,5,0,0,0,0,0,0,17,74,43,38,46,68,56,26,4,3,364
80107107401,7,10,3,3,0,6,0,0,0,35,91,55,43,64,50,74,64,16,4,465
80107107402,10,0,0,6,4,0,0,0,0,27,131,52,74,69,68,82,68,27,10,580
80107107403,3,0,0,0,0,0,0,0,0,5,62,32,37,35,40,68,27,5,0,300
80107107404,0,7,6,6,0,4,0,0,0,24,85,25,59,53,33,37,34,19,0,339
80107107405,8,9,0,5,4,6,0,0,0,33,97,71,72,68,54,59,30,6,3,475
80107107406,16,7,4,7,0,6,0,3,0,48,93,61,85,55,58,77,35,17,0,475
80107107407,6,3,6,9,0,0,3,0,0,28,118,53,64,101,66,55,55,13,0,526
80107107408,0,3,0,0,0,0,0,0,0,9,54,33,14,42,18,51,26,12,0,259
80107107409,0,7,9,0,8,7,4,0,0,30,95,52,83,48,56,78,40,7,0,457
80107107410,0,0,9,0,4,4,0,0,0,19,50,26,46,32,49,45,26,5,0,282
80107107411,4,3,0,0,3,0,0,0,0,19,95,54,81,53,77,77,38,14,0,489
80107107412,7,6,0,8,4,4,0,0,0,28,75,43,36,42,32,38,27,11,0,296
80107107413,3,3,0,0,3,4,0,0,0,15,56,52,36,45,38,51,23,18,0,307
80107107502,5,3,0,0,3,0,0,5,0,14,68,61,31,45,62,60,24,7,0,355
80107107503,0,10,0,0,7,0,0,0,0,10,61,78,32,33,77,59,31,18,10,388
80107107504,4,0,3,3,8,3,3,0,0,31,67,39,63,59,43,58,47,29,7,429
80107107505,3,7,0,4,8,6,0,0,0,26,93,68,66,63,82,72,28,11,0,488
80107107506,5,3,3,0,0,6,0,0,0,23,123,56,88,81,57,39,12,9,0,472
80107107507,4,0,0,0,6,3,0,0,0,24,98,43,71,56,71,48,28,8,0,412
80107107508,0,0,0,0,0,0,8,0,0,15,48,52,35,36,54,43,33,6,4,312
80107107509,0,3,0,0,0,3,0,0,0,5,41,29,22,30,24,42,19,3,3,216
80107107510,7,6,4,5,6,0,0,3,0,27,135,79,62,77,95,76,16,13,0,551
80107107512,7,8,3,7,0,0,0,0,0,23,47,46,33,35,46,50,20,9,4,287
80107107513,0,3,0,0,3,4,4,0,0,15,62,37,25,38,57,58,27,10,0,314
80107107514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107107515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107107516,3,0,0,3,5,6,0,0,0,21,111,83,95,78,88,67,38,20,3,582
80107107517,0,3,0,4,3,0,0,0,0,13,64,57,20,33,76,34,21,5,3,310
80107107601,0,5,0,0,0,4,4,0,0,13,53,46,34,36,41,68,51,10,3,340
80107107602,0,0,0,0,0,4,4,0,0,13,82,36,27,50,59,57,56,12,7,381
80107107603,4,0,0,0,0,0,0,4,0,16,89,38,37,58,48,47,73,29,13,413
80107107604,3,0,0,0,0,8,0,0,0,14,100,34,27,76,43,47,54,17,0,400
80107107605,0,0,0,0,0,3,0,0,0,5,70,36,31,47,54,59,50,14,0,360
80107107606,3,8,0,0,0,7,0,0,0,19,84,63,34,58,62,70,65,20,3,447
80107107607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107107608,6,0,0,0,0,0,0,0,0,11,85,52,27,68,55,68,54,17,6,431
80107107609,0,0,3,0,0,4,0,0,0,8,25,28,14,25,39,51,29,11,3,231
80107107701,16,5,4,3,5,3,8,0,0,39,122,78,81,82,77,91,57,16,3,613
80107107702,3,0,4,4,6,0,3,0,0,25,66,42,51,53,47,49,31,11,5,346
80107107703,5,0,0,4,4,0,5,0,0,20,58,59,36,56,54,45,29,7,3,349
80107107704,3,3,8,0,0,4,0,0,0,19,57,31,60,51,27,43,23,11,4,306
80107107705,11,0,0,4,3,3,0,0,0,21,121,35,70,69,64,68,30,6,3,469
80107107706,6,0,0,0,0,0,0,0,0,16,69,17,32,50,32,43,30,11,3,287
80107107707,0,0,3,0,0,0,0,0,0,3,56,52,34,35,49,60,39,9,4,342
80107107708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107107801,8,6,3,6,7,0,3,0,0,32,104,59,98,83,58,49,26,19,4,495
80107107802,0,0,0,0,0,3,0,0,0,10,51,22,41,36,33,34,9,11,3,240
80107107803,14,7,4,5,5,0,3,0,0,35,87,51,68,71,59,31,23,7,0,398
80107107804,3,3,0,0,0,0,0,0,0,8,69,40,59,38,45,30,14,8,0,314
80107107805,4,0,5,0,0,0,4,0,0,15,82,43,75,40,47,48,23,9,0,369
80107107806,11,3,8,3,6,0,3,0,0,29,97,40,61,61,65,50,22,4,0,394
80107107807,0,0,0,0,0,3,0,0,0,10,28,25,19,16,38,57,30,8,8,223
80107107808,0,0,4,0,0,3,3,0,0,13,71,47,73,40,57,63,30,14,0,388
80107107809,4,3,0,0,3,0,5,0,0,20,60,39,25,37,39,55,27,7,4,288
80107107810,7,3,4,5,3,0,11,20,30,83,112,52,34,78,65,60,86,117,98,700
80107107811,14,3,8,6,4,4,3,0,0,39,121,71,109,76,63,57,36,36,5,573
80107107812,0,4,3,0,0,0,0,0,0,6,66,42,38,46,51,48,28,12,0,324
80107107813,3,3,5,3,3,5,0,4,0,21,57,47,36,39,67,46,30,10,0,334
80107107814,4,0,0,0,5,4,3,0,0,26,99,74,54,60,85,91,38,11,7,522
80107107815,9,0,0,5,5,0,4,0,0,22,70,24,47,60,47,36,24,15,3,322
80107107816,0,0,0,0,0,0,0,0,0,4,52,44,41,35,45,45,14,4,0,283
80107107817,3,0,3,0,5,0,0,0,0,11,50,23,40,19,37,44,19,6,0,242
80107107818,0,4,3,0,0,3,0,0,0,10,69,66,50,42,75,71,31,13,0,421
80107107819,5,0,4,0,0,0,0,3,0,17,51,34,38,24,34,45,10,15,0,252
80107107820,0,0,0,0,0,4,0,0,0,7,72,53,48,59,51,73,35,12,3,405
80107107821,3,3,0,0,6,0,0,0,0,17,70,56,41,47,66,79,42,11,0,415
80107107901,0,0,0,5,0,0,0,0,0,9,70,24,24,51,32,32,29,15,5,283
80107107902,5,0,3,4,0,3,0,0,0,28,91,47,54,69,42,51,41,11,0,405
80107107903,5,3,18,3,4,0,0,0,0,29,106,46,71,64,58,51,64,19,0,480
80107107904,4,5,6,3,0,3,5,0,0,19,88,37,32,58,46,50,59,12,3,381
80107107905,9,3,3,5,3,0,4,0,0,18,87,31,46,54,43,31,62,42,3,403
80107107906,7,0,3,0,5,4,0,0,0,16,66,38,72,35,46,60,39,9,0,364
80107107907,3,3,0,4,0,4,0,0,0,20,47,34,49,36,34,50,23,12,4,298
80107107908,3,3,0,6,0,0,8,0,0,15,47,29,37,34,27,40,39,14,0,272
80107107909,0,0,5,0,0,0,0,0,0,6,55,32,39,47,24,19,23,10,7,257
80107108002,8,0,5,0,3,8,4,4,4,35,57,24,61,47,40,58,69,48,15,419
80107108003,6,4,6,8,3,0,0,0,0,38,114,115,136,122,106,115,124,59,17,910
80107108006,0,8,4,0,0,0,0,0,0,15,13,43,75,37,20,17,9,9,0,220
80107108007,0,0,3,0,0,5,16,28,15,70,58,41,103,58,29,36,52,94,58,530
80107108008,0,0,0,0,0,0,0,0,0,3,13,29,43,25,14,12,7,0,0,137
80107108009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107108010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107108011,4,3,8,4,0,4,0,0,0,25,58,51,127,93,66,58,50,28,13,547
80107108012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80107108013,3,0,12,0,0,5,0,0,0,23,60,79,215,81,40,35,23,3,0,533
80107108014,0,0,0,0,0,0,0,0,0,0,10,4,7,13,10,7,4,0,0,56
80107108015,5,5,10,6,0,0,0,0,0,19,37,39,166,66,43,38,17,6,0,409
80107108016,3,0,3,6,0,3,0,3,0,20,44,30,118,53,37,40,25,15,0,366
80107108101,4,0,4,4,4,0,0,0,0,19,92,36,77,63,41,48,23,11,3,393
80107108102,0,0,0,0,0,0,0,0,0,5,61,38,63,49,36,36,30,14,3,322
80107108103,0,11,5,3,9,5,8,0,0,29,98,56,50,60,70,81,40,7,8,469
80107108104,3,0,3,0,6,0,0,0,0,15,75,39,48,51,37,41,24,0,0,322
80107108105,5,8,0,8,3,0,0,0,0,24,90,46,57,52,40,48,31,4,0,375
80107108106,4,3,7,4,3,5,0,0,0,27,66,38,72,42,40,73,19,8,3,358
80107108107,6,0,0,0,3,0,0,0,0,15,90,23,48,58,43,37,14,6,0,323
80107108108,3,0,0,4,0,0,0,0,0,21,94,50,86,59,60,56,15,18,4,433
80107108109,5,5,0,4,0,4,0,0,0,17,78,51,50,42,54,54,13,5,4,348
80107108111,0,0,0,0,6,6,0,0,0,17,56,37,42,35,44,50,20,8,0,296
80107108112,3,0,0,0,0,0,0,5,0,15,58,29,49,44,26,22,37,21,3,290
80107108113,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,38,76,37,155
80107108114,0,0,0,0,0,0,0,0,0,5,47,29,46,41,19,14,17,12,4,234
80107108201,0,0,5,0,3,0,0,0,0,21,57,28,48,30,43,37,35,10,3,283
80107108202,5,0,8,0,0,4,0,0,0,9,59,23,35,31,27,26,26,12,5,249
80107108203,13,0,0,8,12,3,4,0,0,45,86,41,58,55,55,45,71,45,7,471
80107108204,6,6,0,4,0,4,4,0,0,24,52,51,31,47,58,41,40,31,3,353
80107108205,7,3,3,0,4,0,3,0,0,29,64,33,42,52,46,45,39,13,0,327
80107108206,3,4,0,0,0,0,0,0,0,13,56,55,38,32,47,20,33,13,3,301
80107108207,9,5,5,3,3,6,8,6,0,45,108,67,91,81,66,61,88,75,22,661
80107108208,5,4,0,3,0,0,3,0,0,15,40,26,8,38,27,24,21,21,0,214
80107108209,0,4,0,0,0,0,0,0,0,12,43,39,20,37,31,27,32,24,0,259
80107108210,0,0,0,0,11,0,0,0,0,16,82,58,42,63,90,53,62,25,10,486
80107108211,8,0,4,5,3,0,6,0,0,26,70,40,32,58,41,32,54,20,0,359
80107108212,9,0,0,0,3,0,5,0,0,18,58,54,39,52,50,48,67,20,3,401
80107108213,3,3,0,4,0,0,5,0,0,22,126,62,78,103,73,39,76,11,5,576
80107108214,4,0,0,0,0,0,0,0,0,14,43,27,24,34,35,33,32,8,6,247
80107108215,5,6,14,4,5,0,4,3,0,37,76,45,102,73,102,65,37,22,3,535
80107108216,4,3,4,4,4,0,0,0,0,23,75,41,73,68,37,37,38,20,3,388
80107108217,3,0,3,0,0,0,0,0,0,19,77,33,35,55,63,50,54,33,7,399
80107108218,4,0,7,0,3,0,4,3,0,27,71,31,39,64,41,43,57,34,5,374
80107108219,8,0,3,10,4,5,13,0,0,40,84,61,66,70,78,62,74,24,5,515
80107108220,0,0,0,0,4,7,0,3,0,21,67,37,39,45,52,62,62,30,4,399
80107108221,5,5,6,0,0,8,0,0,0,30,85,45,38,60,36,38,34,10,7,354
80107108222,10,8,0,9,4,0,0,0,0,31,57,57,43,40,65,47,53,8,0,381
80107108223,8,6,0,0,0,0,0,0,0,21,59,33,33,29,47,21,32,14,0,268
80107108224,4,0,0,7,0,3,4,0,0,20,88,41,62,57,48,65,47,23,8,426
80107108225,0,5,0,4,0,0,0,3,0,12,60,26,42,42,31,22,26,20,3,275
80107108226,3,0,0,4,3,3,0,4,0,29,114,30,69,85,45,44,57,31,7,497
80107108227,4,6,7,6,3,0,0,0,0,28,103,39,70,68,52,34,61,21,5,445
80107108228,0,3,3,4,0,0,0,0,0,13,38,23,28,35,22,20,34,13,0,211
80107108229,9,9,4,9,4,3,5,3,0,42,102,61,44,70,72,56,75,29,4,518
80107108230,3,0,0,0,4,0,4,4,0,14,64,26,28,42,37,43,50,20,0,311
80107108231,9,5,8,12,0,3,5,0,0,43,59,48,47,39,51,39,46,18,5,346
80107108232,0,0,0,0,0,0,0,0,0,4,52,39,15,24,54,73,42,9,4,317
80107108233,0,3,0,4,0,0,0,0,0,9,52,33,40,46,37,34,22,8,0,283
80107108234,9,0,0,4,0,0,0,0,0,16,75,28,37,45,47,33,41,10,3,323
80107108235,9,5,4,11,0,0,5,0,0,39,123,89,85,70,81,52,64,27,4,604
80107108236,6,5,8,0,0,5,3,0,0,27,133,60,53,86,67,56,82,31,13,579
80107108237,0,0,0,0,5,0,6,0,0,12,51,56,21,28,60,79,66,24,3,394
80107108238,6,3,0,0,0,6,0,0,0,14,53,42,23,31,55,73,55,31,8,367
80107108239,3,6,0,0,4,5,0,0,0,15,67,35,41,52,47,25,25,13,3,305
80107108240,4,4,0,0,3,0,0,0,0,17,43,26,19,24,34,33,32,15,3,238
80107108241,4,6,0,0,3,5,0,4,0,25,75,54,63,46,59,60,55,16,3,440
80107108301,8,3,4,4,0,3,4,0,0,24,136,48,46,91,65,71,61,12,0,535
80107108302,0,0,3,0,0,0,6,0,0,8,83,52,54,59,55,59,48,13,3,421
80107108303,0,0,0,0,3,3,0,0,0,9,80,42,58,53,64,71,60,6,5,444
80107108401,0,0,0,0,0,0,0,0,0,0,22,28,27,23,36,34,26,9,3,192
80107108402,10,0,4,4,0,0,0,0,0,20,69,22,15,49,39,24,28,11,0,266
80107108403,5,0,5,0,4,4,0,0,0,14,74,24,59,42,34,45,42,13,0,325
80107108404,3,0,7,3,5,0,0,3,0,25,89,41,53,60,50,40,39,24,4,403
80107108405,4,0,0,6,0,0,0,0,0,11,42,37,48,40,31,67,59,25,9,342
80107108406,0,0,0,0,0,4,0,0,0,8,58,25,34,42,20,35,48,3,3,272
80107108407,0,0,3,0,5,0,0,0,0,11,57,38,31,35,43,48,38,12,3,304
80107108408,5,3,3,3,0,5,0,0,0,19,83,50,56,58,39,51,61,11,3,412
80107108409,0,5,0,0,3,6,8,0,0,13,37,36,15,36,39,54,31,16,0,259
80107108410,0,3,0,0,0,3,0,0,0,6,42,27,25,33,33,50,11,10,5,237
80107108411,0,0,0,0,3,0,4,0,0,17,72,42,52,49,48,62,52,9,0,388
80107108412,4,3,0,0,7,7,6,4,0,26,63,37,54,44,51,54,37,38,9,387
80107108413,0,0,0,0,0,4,0,0,0,8,37,19,27,29,30,32,34,8,0,213
80107108414,0,0,0,4,0,3,0,0,0,11,54,27,50,43,31,34,20,12,7,278
80107108415,9,0,0,0,0,0,0,4,0,15,89,40,46,57,51,36,33,17,0,371
